"sentence_id","kalimat","token","bio_tag"
0,"tempat wisata yang indah","tempat","B-CLAUSE"
0,"tempat wisata yang indah","wisata","I-CLAUSE"
0,"tempat wisata yang indah","yang","I-CLAUSE"
0,"tempat wisata yang indah","indah","I-CLAUSE"
1,"tempat wisata indah, tetapi fasilitas kurang","tempat","B-CLAUSE"
1,"tempat wisata indah, tetapi fasilitas kurang","wisata","I-CLAUSE"
1,"tempat wisata indah, tetapi fasilitas kurang","indah","I-CLAUSE"
1,"tempat wisata indah, tetapi fasilitas kurang",",","O"
1,"tempat wisata indah, tetapi fasilitas kurang","tetapi","O"
1,"tempat wisata indah, tetapi fasilitas kurang","fasilitas","B-CLAUSE"
1,"tempat wisata indah, tetapi fasilitas kurang","kurang","I-CLAUSE"
2,"pemandangan bagus namun jalan rusak","pemandangan","B-CLAUSE"
2,"pemandangan bagus namun jalan rusak","bagus","I-CLAUSE"
2,"pemandangan bagus namun jalan rusak","namun","O"
2,"pemandangan bagus namun jalan rusak","jalan","B-CLAUSE"
2,"pemandangan bagus namun jalan rusak","rusak","I-CLAUSE"
3,"air jernih dan sejuk","air","B-CLAUSE"
3,"air jernih dan sejuk","jernih","I-CLAUSE"
3,"air jernih dan sejuk","dan","I-CLAUSE"
3,"air jernih dan sejuk","sejuk","I-CLAUSE"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor","harga","B-CLAUSE"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor","tiket","I-CLAUSE"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor","mahal","I-CLAUSE"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor",",","O"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor","pelayanan","B-CLAUSE"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor","ramah","I-CLAUSE"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor","tetapi","O"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor","toilet","B-CLAUSE"
4,"harga tiket mahal, pelayanan ramah tetapi toilet kotor","kotor","I-CLAUSE"
5,"lokasi strategis namun parkir sempit","lokasi","B-CLAUSE"
5,"lokasi strategis namun parkir sempit","strategis","I-CLAUSE"
5,"lokasi strategis namun parkir sempit","namun","O"
5,"lokasi strategis namun parkir sempit","parkir","B-CLAUSE"
5,"lokasi strategis namun parkir sempit","sempit","I-CLAUSE"
6,"makanan enak tetapi harga mahal","makanan","B-CLAUSE"
6,"makanan enak tetapi harga mahal","enak","I-CLAUSE"
6,"makanan enak tetapi harga mahal","tetapi","O"
6,"makanan enak tetapi harga mahal","harga","B-CLAUSE"
6,"makanan enak tetapi harga mahal","mahal","I-CLAUSE"
7,"tempat bersih, nyaman dan asri","tempat","B-CLAUSE"
7,"tempat bersih, nyaman dan asri","bersih","I-CLAUSE"
7,"tempat bersih, nyaman dan asri",",","O"
7,"tempat bersih, nyaman dan asri","nyaman","B-CLAUSE"
7,"tempat bersih, nyaman dan asri","dan","O"
7,"tempat bersih, nyaman dan asri","asri","B-CLAUSE"
8,"akses jalan mudah namun fasilitas minim","akses","B-CLAUSE"
8,"akses jalan mudah namun fasilitas minim","jalan","I-CLAUSE"
8,"akses jalan mudah namun fasilitas minim","mudah","I-CLAUSE"
8,"akses jalan mudah namun fasilitas minim","namun","O"
8,"akses jalan mudah namun fasilitas minim","fasilitas","B-CLAUSE"
8,"akses jalan mudah namun fasilitas minim","minim","I-CLAUSE"
9,"suasana tenang tetapi kurang terawat","suasana","B-CLAUSE"
9,"suasana tenang tetapi kurang terawat","tenang","I-CLAUSE"
9,"suasana tenang tetapi kurang terawat","tetapi","O"
9,"suasana tenang tetapi kurang terawat","kurang","B-CLAUSE"
9,"suasana tenang tetapi kurang terawat","terawat","I-CLAUSE"
10,"view indah namun toilet berbayar","view","B-CLAUSE"
10,"view indah namun toilet berbayar","indah","I-CLAUSE"
10,"view indah namun toilet berbayar","namun","O"
10,"view indah namun toilet berbayar","toilet","B-CLAUSE"
10,"view indah namun toilet berbayar","berbayar","I-CLAUSE"
11,"tiket murah, tempat luas tetapi kotor","tiket","B-CLAUSE"
11,"tiket murah, tempat luas tetapi kotor","murah","I-CLAUSE"
11,"tiket murah, tempat luas tetapi kotor",",","O"
11,"tiket murah, tempat luas tetapi kotor","tempat","B-CLAUSE"
11,"tiket murah, tempat luas tetapi kotor","luas","I-CLAUSE"
11,"tiket murah, tempat luas tetapi kotor","tetapi","O"
11,"tiket murah, tempat luas tetapi kotor","kotor","B-CLAUSE"
12,"staf ramah dan membantu","staf","B-CLAUSE"
12,"staf ramah dan membantu","ramah","I-CLAUSE"
12,"staf ramah dan membantu","dan","O"
12,"staf ramah dan membantu","membantu","B-CLAUSE"
13,"jalanan licin karena hujan","jalanan","B-CLAUSE"
13,"jalanan licin karena hujan","licin","I-CLAUSE"
13,"jalanan licin karena hujan","karena","I-CLAUSE"
13,"jalanan licin karena hujan","hujan","I-CLAUSE"
