sentence_id,kalimat,token,bio_tag
1,Makanan lezat dan harga terjangkau.,Makanan,B-CLAUSE
1,Makanan lezat dan harga terjangkau.,lezat,I-CLAUSE
1,Makanan lezat dan harga terjangkau.,dan,O
1,Makanan lezat dan harga terjangkau.,harga,B-CLAUSE
1,Makanan lezat dan harga terjangkau.,terjangkau,I-CLAUSE
1,Makanan lezat dan harga terjangkau.,.,O
2,Pelayanan cepat tapi makanan kurang enak.,Pelayanan,B-CLAUSE
2,Pelayanan cepat tapi makanan kurang enak.,cepat,I-CLAUSE
2,Pelayanan cepat tapi makanan kurang enak.,tapi,O
2,Pelayanan cepat tapi makanan kurang enak.,makanan,B-CLAUSE
2,Pelayanan cepat tapi makanan kurang enak.,kurang,I-CLAUSE
2,Pelayanan cepat tapi makanan kurang enak.,enak,I-CLAUSE
2,Pelayanan cepat tapi makanan kurang enak.,.,O
3,Tempatnya nyaman dan Instagramable.,Tempatnya,B-CLAUSE
3,Tempatnya nyaman dan Instagramable.,nyaman,I-CLAUSE
3,Tempatnya nyaman dan Instagramable.,dan,O
3,Tempatnya nyaman dan Instagramable.,Instagramable,B-CLAUSE
3,Tempatnya nyaman dan Instagramable.,.,O
4,Saya kesal karena porsi makanan kecil.,Saya,B-CLAUSE
4,Saya kesal karena porsi makanan kecil.,kesal,I-CLAUSE
4,Saya kesal karena porsi makanan kecil.,karena,O
4,Saya kesal karena porsi makanan kecil.,porsi,B-CLAUSE
4,Saya kesal karena porsi makanan kecil.,makanan,I-CLAUSE
4,Saya kesal karena porsi makanan kecil.,kecil,I-CLAUSE
4,Saya kesal karena porsi makanan kecil.,.,O
5,Harga mahal namun kualitas makanan sangat baik.,Harga,B-CLAUSE
5,Harga mahal namun kualitas makanan sangat baik.,mahal,I-CLAUSE
5,Harga mahal namun kualitas makanan sangat baik.,namun,O
5,Harga mahal namun kualitas makanan sangat baik.,kualitas,B-CLAUSE
5,Harga mahal namun kualitas makanan sangat baik.,makanan,I-CLAUSE
5,Harga mahal namun kualitas makanan sangat baik.,sangat,I-CLAUSE
5,Harga mahal namun kualitas makanan sangat baik.,baik,I-CLAUSE
5,Harga mahal namun kualitas makanan sangat baik.,.,O
6,Lokasinya strategis tetapi parkir sulit.,Lokasinya,B-CLAUSE
6,Lokasinya strategis tetapi parkir sulit.,strategis,I-CLAUSE
6,Lokasinya strategis tetapi parkir sulit.,tetapi,O
6,Lokasinya strategis tetapi parkir sulit.,parkir,B-CLAUSE
