sentence_id,kalimat,token,bio_tag
0,terjangkau lokasi soalnya sesak jalan ke sana,terjangkau,B-CLAUSE
0,terjangkau lokasi soalnya sesak jalan ke sana,lokasi,I-CLAUSE
0,terjangkau lokasi soalnya sesak jalan ke sana,soalnya,O
0,terjangkau lokasi soalnya sesak jalan ke sana,sesak,B-CLAUSE
0,terjangkau lokasi soalnya sesak jalan ke sana,jalan,I-CLAUSE
0,terjangkau lokasi soalnya sesak jalan ke sana,ke,I-CLAUSE
0,terjangkau lokasi soalnya sesak jalan ke sana,sana,I-CLAUSE
1,segar listrik,segar,B-CLAUSE
1,segar listrik,listrik,I-CLAUSE
2,udara sopan padahal air bersih,udara,B-CLAUSE
2,udara sopan padahal air bersih,sopan,I-CLAUSE
2,udara sopan padahal air bersih,padahal,O
2,udara sopan padahal air bersih,air,B-CLAUSE
2,udara sopan padahal air bersih,bersih,I-CLAUSE
3,parkiran memukau soalnya view bersi,parkiran,B-CLAUSE
3,parkiran memukau soalnya view bersi,memukau,I-CLAUSE
3,parkiran memukau soalnya view bersi,soalnya,O
3,parkiran memukau soalnya view bersi,view,B-CLAUSE
3,parkiran memukau soalnya view bersi,bersi,I-CLAUSE
4,kolam renang jos bener-bener namun sinyal nu jutek,kolam,B-CLAUSE
4,kolam renang jos bener-bener namun sinyal nu jutek,renang,I-CLAUSE
4,kolam renang jos bener-bener namun sinyal nu jutek,jos,I-CLAUSE
4,kolam renang jos bener-bener namun sinyal nu jutek,bener-bener,I-CLAUSE
4,kolam renang jos bener-bener namun sinyal nu jutek,namun,O
4,kolam renang jos bener-bener namun sinyal nu jutek,sinyal,B-CLAUSE
4,kolam renang jos bener-bener namun sinyal nu jutek,nu,I-CLAUSE
4,kolam renang jos bener-bener namun sinyal nu jutek,jutek,I-CLAUSE
5,listrik sesak tetapi terawat lokasi,listrik,B-CLAUSE
5,listrik sesak tetapi terawat lokasi,sesak,I-CLAUSE
5,listrik sesak tetapi terawat lokasi,tetapi,O
5,listrik sesak tetapi terawat lokasi,terawat,B-CLAUSE
5,listrik sesak tetapi terawat lokasi,lokasi,I-CLAUSE
6,"parkiran memang sigap, wahana sejuk",parkiran,B-CLAUSE
6,"parkiran memang sigap, wahana sejuk",memang,I-CLAUSE
6,"parkiran memang sigap, wahana sejuk",sigap,I-CLAUSE
6,"parkiran memang sigap, wahana sejuk",",",O
6,"parkiran memang sigap, wahana sejuk",wahana,B-CLAUSE
6,"parkiran memang sigap, wahana sejuk",sejuk,I-CLAUSE
7,saat di parkiran segar parah padahal wahana bgs,saat,B-CLAUSE
7,saat di parkiran segar parah padahal wahana bgs,di,I-CLAUSE
7,saat di parkiran segar parah padahal wahana bgs,parkiran,I-CLAUSE
7,saat di parkiran segar parah padahal wahana bgs,segar,I-CLAUSE
7,saat di parkiran segar parah padahal wahana bgs,parah,I-CLAUSE
7,saat di parkiran segar parah padahal wahana bgs,padahal,O
7,saat di parkiran segar parah padahal wahana bgs,wahana,B-CLAUSE
7,saat di parkiran segar parah padahal wahana bgs,bgs,I-CLAUSE
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,jalan,B-CLAUSE
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,menuju,I-CLAUSE
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,tempat,I-CLAUSE
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,gelap,I-CLAUSE
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,sayangnya,O
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,pas,B-CLAUSE
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,masuk,I-CLAUSE
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,gerbang,I-CLAUSE
8,jalan menuju tempat gelap sayangnya pas masuk gerbang panas,panas,I-CLAUSE
9,biasa aja kolam renang meskipun sinyal wangi,biasa,B-CLAUSE
9,biasa aja kolam renang meskipun sinyal wangi,aja,I-CLAUSE
9,biasa aja kolam renang meskipun sinyal wangi,kolam,I-CLAUSE
9,biasa aja kolam renang meskipun sinyal wangi,renang,I-CLAUSE
9,biasa aja kolam renang meskipun sinyal wangi,meskipun,O
9,biasa aja kolam renang meskipun sinyal wangi,sinyal,B-CLAUSE
9,biasa aja kolam renang meskipun sinyal wangi,wangi,I-CLAUSE
10,"kamar mandi cepat cukup, gazebo memukau",kamar mandi,B-CLAUSE
